distortion,param_name,param_value,level,true_label,predicted,word_correct,char_correct
blur,radius,0.3,1,s1jbe,s1lbe,0,4
blur,radius,0.3,1,4sI34,4sl34,0,4
blur,radius,0.3,1,tKx7U,tKx7U,1,5
blur,radius,0.3,1,Oucqi,Oucqi,1,5
blur,radius,0.3,1,gc54X,gc54X,1,5
blur,radius,0.3,1,sJRm1,sJRm1,1,5
blur,radius,0.3,1,g9q5K,g9q5K,1,5
blur,radius,0.3,1,qicVz,qIcVz,0,4
blur,radius,0.3,1,6UFX1,6UFX1,1,5
blur,radius,0.3,1,pUpGJ,pUpGJ,1,5
blur,radius,0.3,1,leunw,leunw,1,5
blur,radius,0.3,1,vwgd3,wgd3,0,0
blur,radius,0.3,1,sKDQl,sKDQI,0,4
blur,radius,0.3,1,h87sr,h87sr,1,5
blur,radius,0.3,1,lfqFS,ItqFs,0,2
blur,radius,0.3,1,qMQlR,qMQlR,1,5
blur,radius,0.3,1,IIkE4,lkE4,0,0
blur,radius,0.3,1,eu8aI,eu8aI,1,5
blur,radius,0.3,1,RsRz4,RsRz4,1,5
blur,radius,0.3,1,440sK,44OsK,0,4
blur,radius,0.3,1,WlCO7,WIcO7,0,3
blur,radius,0.3,1,It1Ds,lt1Ds,0,4
blur,radius,0.3,1,rMZYY,rMZYY,1,5
blur,radius,0.3,1,2sPmb,2sPmb,1,5
blur,radius,0.3,1,LVLm2,LVLm2,1,5
blur,radius,0.3,1,mHloO,mHl6O,0,4
blur,radius,0.3,1,bKPWn,bKPWn,1,5
blur,radius,0.3,1,apMaq,apMaq,1,5
blur,radius,0.3,1,n7rfd,n7rid,0,4
blur,radius,0.3,1,AAbdR,AAbdR,1,5
blur,radius,0.3,1,85uGl,85uGl,1,5
blur,radius,0.3,1,KJC8h,KJc8h,0,4
blur,radius,0.3,1,pJ7fu,pJ7tu,0,4
blur,radius,0.3,1,8uqwc,8uqwc,1,5
blur,radius,0.3,1,VG3Gu,VG3Gu,1,5
blur,radius,0.3,1,GmF0m,GmFOm,0,4
blur,radius,0.3,1,GYsdS,GYsds,0,4
blur,radius,0.3,1,s9LYo,s9LY6,0,4
blur,radius,0.3,1,4ubvr,4ubvr,1,5
blur,radius,0.3,1,4C0FS,4COFs,0,3
blur,radius,0.3,1,L9Als,L9AIs,0,4
blur,radius,0.3,1,piw8u,ptw8u,0,4
blur,radius,0.3,1,x68PH,x68PH,1,5
blur,radius,0.3,1,kIbuV,kIbuV,1,5
blur,radius,0.3,1,ZVhNj,zVhNi,0,3
blur,radius,0.3,1,k9W7y,k9W7y,1,5
blur,radius,0.3,1,13EPa,13EPa,1,5
blur,radius,0.3,1,QvGxf,QvGxf,1,5
blur,radius,0.3,1,Dgt3G,Dgt3G,1,5
blur,radius,0.3,1,uuuIV,uulV,0,2
blur,radius,0.3,1,iSQaJ,isQaJ,0,4
blur,radius,0.3,1,5lizu,5lzu,0,2
blur,radius,0.3,1,eKUJC,eKUJc,0,4
blur,radius,0.3,1,ukxaD,ulxaD,0,4
blur,radius,0.3,1,GT8xC,GT8xC,1,5
blur,radius,0.3,1,VDKuk,VDKuk,1,5
blur,radius,0.3,1,EnUYx,EnUYx,1,5
blur,radius,0.3,1,Lb6bF,Lb6bF,1,5
blur,radius,0.3,1,yInn4,ylnn4,0,4
blur,radius,0.3,1,cEJsK,cEJsK,1,5
blur,radius,0.3,1,1hBhE,1hBhE,1,5
blur,radius,0.3,1,Ttaby,Trby,0,1
blur,radius,0.3,1,qeQ1k,qeQ1k,1,5
blur,radius,0.3,1,ijCPD,ljCPD,0,4
blur,radius,0.3,1,gvhNG,gvhNG,1,5
blur,radius,0.3,1,PVbAc,PVbAc,1,5
blur,radius,0.3,1,DAoot,DA66t,0,3
blur,radius,0.3,1,Hagc6,Hagc6,1,5
blur,radius,0.3,1,C9rsA,c9rsA,0,4
blur,radius,0.3,1,k1QXs,k1QXs,1,5
blur,radius,0.3,1,O0LII,OOLI,0,3
blur,radius,0.3,1,0qDUd,OqDUd,0,4
blur,radius,0.3,1,9ezdG,9ezdG,1,5
blur,radius,0.3,1,TvKYK,TvKYK,1,5
blur,radius,0.3,1,A3Jao,A3Ja6,0,4
blur,radius,0.3,1,BhFDo,BhFD6,0,4
blur,radius,0.3,1,CKKRl,cKKRI,0,3
blur,radius,0.3,1,zYgfL,zYgiL,0,4
blur,radius,0.3,1,ptU3R,ptU3R,1,5
blur,radius,0.3,1,x6qzt,x6qzt,1,5
blur,radius,0.3,1,yB7XF,yB7XF,1,5
blur,radius,0.3,1,Q72kc,Q72kc,1,5
blur,radius,0.3,1,dJX2J,dJX2J,1,5
blur,radius,0.3,1,F6ZjE,F6ZIE,0,4
blur,radius,0.3,1,ZVbE7,zvbE7,0,3
blur,radius,0.3,1,KB0wx,KBOwx,0,4
blur,radius,0.3,1,741tE,741tE,1,5
blur,radius,0.3,1,JbR1k,JbR1k,1,5
blur,radius,0.3,1,cqvPz,cqvPz,1,5
blur,radius,0.3,1,9BIwy,9Blwy,0,4
blur,radius,0.3,1,bn6PU,bn6PU,1,5
blur,radius,0.3,1,9dKLI,9dKLI,1,5
blur,radius,0.3,1,DBlKs,DBIKs,0,4
blur,radius,0.3,1,KyGE4,KyGE4,1,5
blur,radius,0.3,1,TdReG,TdReG,1,5
blur,radius,0.3,1,6dtP1,6dtP1,1,5
blur,radius,0.3,1,VDDBl,vDDBl,0,4
blur,radius,0.3,1,O1Bvt,O1Bvu,0,4
blur,radius,0.3,1,XBk4Q,XBk4Q,1,5
blur,radius,0.3,1,CVjZy,cVIZy,0,3
blur,radius,0.3,1,r1rlX,r1rlX,1,5
blur,radius,0.3,1,iGgk4,iGgk4,1,5
blur,radius,0.3,1,BjXg3,BjXgs,0,4
blur,radius,0.3,1,i3D6c,i3D6c,1,5
blur,radius,0.3,1,NAErf,NAElf,0,4
blur,radius,0.3,1,BYxfA,BYxvA,0,4
blur,radius,0.3,1,WlOpY,WIOpY,0,4
blur,radius,0.3,1,C8pYc,C8pYc,1,5
blur,radius,0.3,1,65WJj,65WJI,0,4
blur,radius,0.3,1,8tIhU,8thU,0,2
blur,radius,0.3,1,a0G7G,aOG7G,0,4
blur,radius,0.3,1,6JGmI,6JGml,0,4
blur,radius,0.3,1,1saKV,1saKV,1,5
blur,radius,0.3,1,WYvTZ,WYvTz,0,4
blur,radius,0.3,1,ULtbO,ULtbO,1,5
blur,radius,0.3,1,ZRspw,ZRspw,1,5
blur,radius,0.3,1,UV911,UV911,1,5
blur,radius,0.3,1,pePNl,pePNI,0,4
blur,radius,0.3,1,C0qNZ,COqNz,0,3
blur,radius,0.3,1,23KL2,23KL2,1,5
blur,radius,0.3,1,lhPcy,IhPcy,0,4
blur,radius,0.3,1,u32K7,u32K7,1,5
blur,radius,0.3,1,yecvR,yecvR,1,5
blur,radius,0.3,1,KOYK1,KOYK1,1,5
blur,radius,0.3,1,8KYWk,8KYWk,1,5
blur,radius,0.3,1,phdsA,phdsA,1,5
blur,radius,0.3,1,OBad7,OBad7,1,5
blur,radius,0.3,1,YqVlY,YqVIY,0,4
blur,radius,0.3,1,hjc2T,hIc2T,0,4
blur,radius,0.3,1,WZlQJ,WZlQJ,1,5
blur,radius,0.3,1,56zBQ,56zBO,0,4
blur,radius,0.3,1,BDVK0,BDVKO,0,4
blur,radius,0.3,1,Lsw8J,Lsw8J,1,5
blur,radius,0.3,1,Lht6Y,Lnt6Y,0,4
blur,radius,0.3,1,BjWrS,BjWrs,0,4
blur,radius,0.3,1,EP5Wq,EP5Wq,1,5
blur,radius,0.3,1,wBPnM,wBPnM,1,5
blur,radius,0.3,1,LFCdV,LFcdV,0,4
blur,radius,0.3,1,ZHn3e,ZHn3e,1,5
blur,radius,0.3,1,M5aLk,M5aLk,1,5
blur,radius,0.3,1,45Chc,45Chc,1,5
blur,radius,0.3,1,v2hq0,v2hqO,0,4
blur,radius,0.3,1,n7qQj,n7qQj,1,5
blur,radius,0.3,1,QY6BX,QY6BX,1,5
blur,radius,0.3,1,iXE63,iXE63,1,5
blur,radius,0.3,1,DgU9D,DgU9D,1,5
blur,radius,0.3,1,08d2g,O8d2g,0,4
blur,radius,0.3,1,2bdHG,2bdHG,1,5
blur,radius,0.3,1,qlAnS,qIAns,0,3
blur,radius,0.3,1,qxVQc,qxVQc,1,5
blur,radius,0.3,1,7AzM2,7AzM2,1,5
blur,radius,0.3,1,fE91j,fE91j,1,5
blur,radius,0.3,1,XDfI2,XD112,0,3
blur,radius,0.3,1,pEAQj,pEAQj,1,5
blur,radius,0.3,1,n7pmv,n7pmv,1,5
blur,radius,0.3,1,i75Yq,i75Yq,1,5
blur,radius,0.3,1,s8Nrx,s8Nrx,1,5
blur,radius,0.3,1,dy6dJ,dy6dJ,1,5
blur,radius,0.3,1,5EJq5,5EJq5,1,5
blur,radius,0.3,1,xHuf0,xHufO,0,4
blur,radius,0.3,1,166zK,166zK,1,5
blur,radius,0.3,1,8TLt0,8TLtO,0,4
blur,radius,0.3,1,GTTZX,gtzx,0,0
blur,radius,0.3,1,34dyX,34dyX,1,5
blur,radius,0.3,1,ss7aZ,ss7aZ,1,5
blur,radius,0.3,1,Ukgw3,Ukgw3,1,5
blur,radius,0.3,1,t8e0P,t8eOP,0,4
blur,radius,0.3,1,OL85u,OL85u,1,5
blur,radius,0.3,1,38w10,38w1O,0,4
blur,radius,0.3,1,3pUKt,3pUKt,1,5
blur,radius,0.3,1,ONqNH,ONqNH,1,5
blur,radius,0.3,1,ArXeq,ArXeq,1,5
blur,radius,0.3,1,GUkgN,GUkgN,1,5
blur,radius,0.3,1,XZGQg,XzGQg,0,4
blur,radius,0.3,1,UV17n,UV17n,1,5
blur,radius,0.3,1,eQsCi,eQsCi,1,5
blur,radius,0.3,1,OQWvo,OQWv6,0,4
blur,radius,0.3,1,8AOxb,8AOxb,1,5
blur,radius,0.3,1,vgIFD,vgIFD,1,5
blur,radius,0.3,1,S5Rmg,s5Rmg,0,4
blur,radius,0.3,1,IjQgf,ljQgf,0,4
blur,radius,0.3,1,akcH1,akcH1,1,5
blur,radius,0.3,1,KKJm8,KKJm8,1,5
blur,radius,0.3,1,xTtqk,xTtqk,1,5
blur,radius,0.3,1,dtDvO,dtDvO,1,5
blur,radius,0.3,1,lLF7Y,lLF7Y,1,5
blur,radius,0.3,1,tCign,tCIgn,0,4
blur,radius,0.3,1,Edwda,Edwda,1,5
